"lemma","text.content","text.beginOffset","partOfSpeech.tag","dependencyEdge.headTokenIndex","dependencyEdge.label","text_id"
"sponsore","sponsored",-1,"VERB",13,"ROOT",2
"by","by",-1,"ADP",13,"PREP",2
"the","the",-1,"DET",16,"DET",2
"Commission","Commission",-1,"NOUN",14,"POBJ",2
"on","on",-1,"ADP",13,"PREP",2
"Presidential","Presidential",-1,"NOUN",19,"NN",2
"Debates","Debates",-1,"NOUN",17,"POBJ",2
",",",",-1,"PUNCT",19,"P",2
"a","a",-1,"DET",25,"DET",2
"nonpartisan","nonpartisan",-1,"ADJ",25,"AMOD",2
",",",",-1,"PUNCT",25,"P",2
"nonprofit","nonprofit",-1,"ADJ",25,"AMOD",2
"organization","organization",-1,"NOUN",19,"APPOS",2
".",".",-1,"PUNCT",13,"P",2
"The","The",-1,"DET",28,"DET",2
"commission","commission",-1,"NOUN",29,"NSUBJ",2
"draft","drafted",-1,"VERB",29,"ROOT",2
"tonight","tonight",-1,"NOUN",32,"POSS",2
"'s","'s",-1,"PRT",30,"PS",2
"format","format",-1,"NOUN",29,"DOBJ",2
",",",",-1,"PUNCT",29,"P",2
"and","and",-1,"CONJ",29,"CC",2
"the","the",-1,"DET",36,"DET",2
"rule","rules",-1,"NOUN",39,"NSUBJPASS",2
"have","have",-1,"VERB",39,"AUX",2
"be","been",-1,"VERB",39,"AUXPASS",2
"agree","agreed",-1,"VERB",29,"CONJ",2
"to","to",-1,"ADP",39,"PREP",2
"by","by",-1,"ADP",39,"PREP",2
"the","the",-1,"DET",43,"DET",2
"campaign","campaigns",-1,"NOUN",41,"POBJ",2
".",".",-1,"PUNCT",29,"P",2
"The","The",-1,"DET",4,"DET",3
"90","90",-1,"NUM",3,"NUM",3
"-","-",-1,"PUNCT",3,"P",3
"minute","minute",-1,"NOUN",4,"NN",3
"debate","debate",-1,"NOUN",6,"NSUBJPASS",3
"be","is",-1,"VERB",6,"AUXPASS",3
"divide","divided",-1,"VERB",6,"ROOT",3
"into","into",-1,"ADP",6,"PREP",3
"six","six",-1,"NUM",9,"NUM",3
"segment","segments",-1,"NOUN",7,"POBJ",3
",",",",-1,"PUNCT",9,"P",3
"each","each",-1,"DET",13,"DET",3
"15","15",-1,"NUM",13,"NUM",3
"minute","minutes",-1,"NOUN",14,"NPADVMOD",3
"long","long",-1,"ADV",9,"ADVMOD",3
".",".",-1,"PUNCT",6,"P",3
"We","We",-1,"PRON",18,"NSUBJ",3
"will","'ll",-1,"VERB",18,"AUX",3
"explore","explore",-1,"VERB",18,"ROOT",3
"three","three",-1,"NUM",21,"NUM",3
"topic","topic",-1,"NOUN",21,"NN",3
"area","areas",-1,"NOUN",18,"DOBJ",3
"tonight","tonight",-1,"NOUN",18,"TMOD",3
":",":",-1,"PUNCT",18,"P",3
"achieve","Achieving",-1,"VERB",25,"AMOD",3
"prosperity","prosperity",-1,"NOUN",18,"DOBJ",3
";",";",-1,"PUNCT",25,"P",3
"America","America",-1,"NOUN",29,"POSS",3
"'s","'s",-1,"PRT",27,"PS",3
"direction","direction",-1,"NOUN",25,"CONJ",3
";",";",-1,"PUNCT",25,"P",3
"and","and",-1,"CONJ",25,"CC",3
"secure","securing",-1,"VERB",25,"CONJ",3
"America","America",-1,"NOUN",32,"DOBJ",3
".",".",-1,"PUNCT",18,"P",3
"At","At",-1,"ADP",44,"PREP",3
"the","the",-1,"DET",37,"DET",3
"start","start",-1,"NOUN",35,"POBJ",3
"of","of",-1,"ADP",37,"PREP",3
"each","each",-1,"DET",40,"DET",3
"segment","segment",-1,"NOUN",38,"POBJ",3
",",",",-1,"PUNCT",44,"P",3
"I","I",-1,"PRON",44,"NSUBJ",3
"will","will",-1,"VERB",44,"AUX",3
"ask","ask",-1,"VERB",44,"ROOT",3
"the","the",-1,"DET",50,"DET",3
"same","same",-1,"ADJ",50,"AMOD",3
"lead","lead",-1,"NOUN",49,"DEP",3
"-","-",-1,"PUNCT",49,"P",3
"off","off",-1,"PRT",50,"AMOD",3
"question","question",-1,"NOUN",44,"DOBJ",3
"to","to",-1,"ADP",44,"PREP",3
"both","both",-1,"DET",53,"DET",3
"candidate","candidates",-1,"NOUN",51,"POBJ",3
",",",",-1,"PUNCT",44,"P",3
"and","and",-1,"CONJ",44,"CC",3
"they","they",-1,"PRON",59,"NSUBJ",3
"will","will",-1,"VERB",59,"AUX",3
"each","each",-1,"DET",59,"NSUBJ",3
"have","have",-1,"VERB",44,"CONJ",3
"up","up",-1,"PRT",59,"PRT",3
"to","to",-1,"ADP",59,"PREP",3
"two","two",-1,"NUM",63,"NUM",3
"minute","minutes",-1,"NOUN",61,"POBJ",3
"to","to",-1,"PRT",65,"AUX",3
"respond","respond",-1,"VERB",59,"XCOMP",3
".",".",-1,"PUNCT",44,"P",3
"From","From",-1,"ADP",79,"PREP",3
"that","that",-1,"DET",69,"DET",3
"point","point",-1,"NOUN",67,"POBJ",3
"until","until",-1,"ADP",79,"PREP",3
"the","the",-1,"DET",72,"DET",3
"end","end",-1,"NOUN",70,"POBJ",3
"of","of",-1,"ADP",72,"PREP",3
"the","the",-1,"DET",75,"DET",3
"segment","segment",-1,"NOUN",73,"POBJ",3
",",",",-1,"PUNCT",79,"P",3
"we","we",-1,"PRON",79,"NSUBJ",3
"will","'ll",-1,"VERB",79,"AUX",3
"have","have",-1,"VERB",79,"ROOT",3
"an","an",-1,"DET",82,"DET",3
"open","open",-1,"ADJ",82,"AMOD",3
"discussion","discussion",-1,"NOUN",79,"DOBJ",3
".",".",-1,"PUNCT",79,"P",3
"The","The",-1,"DET",1,"DET",4
"question","questions",-1,"NOUN",2,"NSUBJ",4
"be","are",-1,"VERB",2,"ROOT",4
"mine","mine",-1,"PRON",2,"ATTR",4
"and","and",-1,"CONJ",2,"CC",4
"have","have",-1,"VERB",8,"AUX",4
"not","not",-1,"ADV",8,"NEG",4
"be","been",-1,"VERB",8,"AUXPASS",4
"share","shared",-1,"VERB",2,"CONJ",4
"with","with",-1,"ADP",8,"PREP",4
"the","the",-1,"DET",11,"DET",4
"commission","commission",-1,"NOUN",9,"POBJ",4
"or","or",-1,"CONJ",11,"CC",4
"the","the",-1,"DET",14,"DET",4
"campaign","campaigns",-1,"NOUN",11,"CONJ",4
".",".",-1,"PUNCT",2,"P",4
"The","The",-1,"DET",17,"DET",4
"audience","audience",-1,"NOUN",23,"NSUBJ",4
"here","here",-1,"ADV",17,"ADVMOD",4
"in","in",-1,"ADP",18,"PREP",4
"the","the",-1,"DET",21,"DET",4
"room","room",-1,"NOUN",19,"POBJ",4
"have","has",-1,"VERB",23,"AUX",4
"agree","agreed",-1,"VERB",23,"ROOT",4
"to","to",-1,"PRT",25,"AUX",4
"remain","remain",-1,"VERB",23,"XCOMP",4
"silent","silent",-1,"ADJ",25,"ACOMP",4
"so","so",-1,"ADP",31,"MARK",4
"that","that",-1,"ADP",31,"MWE",4
"we","we",-1,"PRON",31,"NSUBJ",4
"can","can",-1,"VERB",31,"AUX",4
"focus","focus",-1,"VERB",25,"ADVCL",4
"on","on",-1,"ADP",31,"PREP",4
"what","what",-1,"PRON",37,"DOBJ",4
"the","the",-1,"DET",35,"DET",4
"candidate","candidates",-1,"NOUN",37,"NSUBJ",4
"be","are",-1,"VERB",37,"AUX",4
"say","saying",-1,"VERB",32,"PCOMP",4
".",".",-1,"PUNCT",23,"P",4
"I","I",-1,"PRON",2,"NSUBJ",5
"will","will",-1,"VERB",2,"AUX",5
"invite","invite",-1,"VERB",2,"ROOT",5
"you","you",-1,"PRON",2,"DOBJ",5
"to","to",-1,"PRT",5,"AUX",5
"applaud","applaud",-1,"VERB",2,"XCOMP",5
",",",",-1,"PUNCT",2,"P",5
"however","however",-1,"ADV",2,"ADVMOD",5
",",",",-1,"PUNCT",2,"P",5
"at","at",-1,"ADP",2,"PREP",5
"this","this",-1,"DET",11,"DET",5
"moment","moment",-1,"NOUN",9,"POBJ",5
",",",",-1,"PUNCT",2,"P",5
"as","as",-1,"ADP",15,"MARK",5
"we","we",-1,"PRON",15,"NSUBJ",5
"welcome","welcome",-1,"VERB",2,"ADVCL",5
"the","the",-1,"DET",17,"DET",5
"candidate","candidates",-1,"NOUN",15,"DOBJ",5
":",":",-1,"PUNCT",17,"P",5
"Democratic","Democratic",-1,"ADJ",20,"AMOD",5
"nominee","nominee",-1,"NOUN",17,"APPOS",5
"for","for",-1,"ADP",20,"PREP",5
"president","president",-1,"NOUN",21,"POBJ",5
"of","of",-1,"ADP",22,"PREP",5
"the","the",-1,"DET",26,"DET",5
"United","United",-1,"NOUN",26,"NN",5
"States","States",-1,"NOUN",23,"POBJ",5
",",",",-1,"PUNCT",26,"P",5
"Hillary","Hillary",-1,"NOUN",29,"NN",5
"Clinton","Clinton",-1,"NOUN",26,"CONJ",5
",",",",-1,"PUNCT",20,"P",5
"and","and",-1,"CONJ",20,"CC",5
"Republican","Republican",-1,"ADJ",33,"AMOD",5
"nominee","nominee",-1,"NOUN",20,"CONJ",5
"for","for",-1,"ADP",33,"PREP",5
"president","president",-1,"NOUN",34,"POBJ",5
"of","of",-1,"ADP",35,"PREP",5
"the","the",-1,"DET",39,"DET",5
"United","United",-1,"NOUN",39,"NN",5
"States","States",-1,"NOUN",36,"POBJ",5
",",",",-1,"PUNCT",20,"P",5
"Donald","Donald",-1,"NOUN",43,"NN",5
"J.","J.",-1,"NOUN",43,"NN",5
"Trump","Trump",-1,"NOUN",20,"APPOS",5
".",".",-1,"PUNCT",2,"P",5
"How","How",-1,"ADV",1,"ADVMOD",6
"be","are",-1,"VERB",1,"ROOT",6
"you","you",-1,"PRON",1,"NSUBJ",6
",",",",-1,"PUNCT",1,"P",6
"Donald","Donald",-1,"NOUN",1,"DEP",6
"?","?",-1,"PUNCT",1,"P",6
"Good","Good",-1,"ADJ",1,"AMOD",7
"luck","luck",-1,"NOUN",1,"ROOT",7
"to","to",-1,"ADP",1,"PREP",7
"you","you",-1,"PRON",2,"POBJ",7
".",".",-1,"PUNCT",1,"P",7
"Well","Well",-1,"X",5,"DISCOURSE",8
",",",",-1,"PUNCT",5,"P",8
"I","I",-1,"PRON",5,"NSUBJ",8
"do","do",-1,"VERB",5,"AUX",8
"n't","n't",-1,"ADV",5,"NEG",8
"expect","expect",-1,"VERB",5,"ROOT",8
"us","us",-1,"PRON",8,"NSUBJ",8
"to","to",-1,"PRT",8,"AUX",8
"cover","cover",-1,"VERB",5,"XCOMP",8
"all","all",-1,"DET",11,"PREDET",8
"the","the",-1,"DET",11,"DET",8
"issue","issues",-1,"NOUN",8,"DOBJ",8
"of","of",-1,"ADP",11,"PREP",8
"this","this",-1,"DET",14,"DET",8
"campaign","campaign",-1,"NOUN",12,"POBJ",8
"tonight","tonight",-1,"NOUN",8,"TMOD",8
",",",",-1,"PUNCT",5,"P",8
"but","but",-1,"CONJ",5,"CC",8
"I","I",-1,"PRON",19,"NSUBJ",8
"remind","remind",-1,"VERB",5,"CONJ",8
"everyone","everyone",-1,"NOUN",19,"DOBJ",8
",",",",-1,"PUNCT",19,"P",8
"there","there",-1,"DET",23,"EXPL",8
"be","are",-1,"VERB",19,"PARATAXIS",8
"two","two",-1,"NUM",27,"NUM",8
"more","more",-1,"ADJ",24,"QUANTMOD",8
"presidential","presidential",-1,"ADJ",27,"AMOD",8
"debate","debates",-1,"NOUN",23,"NSUBJ",8
"schedule","scheduled",-1,"VERB",27,"VMOD",8
".",".",-1,"PUNCT",5,"P",8
"We","We",-1,"PRON",32,"NSUBJ",8
"be","are",-1,"VERB",32,"AUX",8
"go","going",-1,"VERB",32,"ROOT",8
"to","to",-1,"PRT",34,"AUX",8
"focus","focus",-1,"VERB",32,"XCOMP",8
"on","on",-1,"ADP",34,"PREP",8
"many","many",-1,"ADJ",35,"POBJ",8
"of","of",-1,"ADP",36,"PREP",8
"the","the",-1,"DET",39,"DET",8
"issue","issues",-1,"NOUN",37,"POBJ",8
"that","that",-1,"DET",42,"DEP",8
"voter","voters",-1,"NOUN",42,"NSUBJ",8
"tell","tell",-1,"VERB",39,"RCMOD",8
"us","us",-1,"PRON",42,"DOBJ",8
"be","are",-1,"VERB",42,"CCOMP",8
"most","most",-1,"ADV",46,"ADVMOD",8
"important","important",-1,"ADJ",44,"ACOMP",8
",",",",-1,"PUNCT",32,"P",8
"and","and",-1,"CONJ",32,"CC",8
"we","we",-1,"PRON",51,"NSUBJ",8
"be","'re",-1,"VERB",51,"AUX",8
"go","going",-1,"VERB",32,"CONJ",8
"to","to",-1,"PRT",53,"AUX",8
"press","press",-1,"VERB",51,"XCOMP",8
"for","for",-1,"ADP",53,"PREP",8
"specifics","specifics",-1,"NOUN",54,"POBJ",8
".",".",-1,"PUNCT",32,"P",8
"I","I",-1,"PRON",59,"NSUBJPASS",8
"be","am",-1,"VERB",59,"AUXPASS",8
"honore","honored",-1,"VERB",59,"ROOT",8
"to","to",-1,"PRT",61,"AUX",8
"have","have",-1,"VERB",59,"XCOMP",8
"this","this",-1,"DET",63,"DET",8
"role","role",-1,"NOUN",61,"DOBJ",8
",",",",-1,"PUNCT",59,"P",8
"but","but",-1,"CONJ",59,"CC",8
"this","this",-1,"DET",67,"DET",8
"evening","evening",-1,"NOUN",68,"NSUBJ",8
"belong","belongs",-1,"VERB",59,"CONJ",8
"to","to",-1,"ADP",68,"PREP",8
"the","the",-1,"DET",71,"DET",8
"candidate","candidates",-1,"NOUN",69,"POBJ",8
"and","and",-1,"CONJ",68,"CC",8
",",",",-1,"PUNCT",68,"P",8
"just","just",-1,"ADV",76,"ADVMOD",8
"as","as",-1,"ADV",76,"ADVMOD",8
"important","important",-1,"ADJ",68,"ACOMP",8
",",",",-1,"PUNCT",68,"P",8
"to","to",-1,"ADP",68,"PREP",8
"the","the",-1,"DET",81,"DET",8
"American","American",-1,"ADJ",81,"AMOD",8
"person","people",-1,"NOUN",78,"POBJ",8
".",".",-1,"PUNCT",59,"P",8
"candidate","Candidates",-1,"NOUN",3,"NSUBJ",9
",",",",-1,"PUNCT",3,"P",9
"we","we",-1,"PRON",3,"NSUBJ",9
"look","look",-1,"VERB",3,"ROOT",9
"forward","forward",-1,"ADV",3,"ADVMOD",9
"to","to",-1,"ADP",3,"PREP",9
"hear","hearing",-1,"VERB",5,"PCOMP",9
"you","you",-1,"PRON",8,"NSUBJ",9
"articulate","articulate",-1,"VERB",6,"CCOMP",9
"your","your",-1,"PRON",10,"POSS",9
"policy","policies",-1,"NOUN",8,"DOBJ",9
"and","and",-1,"CONJ",10,"CC",9
"your","your",-1,"PRON",13,"POSS",9
"position","positions",-1,"NOUN",10,"CONJ",9
",",",",-1,"PUNCT",10,"P",9
"as","as",-1,"ADV",16,"ADVMOD",9
"well","well",-1,"ADV",10,"CC",9
"as","as",-1,"ADP",16,"MWE",9
"your","your",-1,"PRON",19,"POSS",9
"vision","visions",-1,"NOUN",10,"CONJ",9
"and","and",-1,"CONJ",19,"CC",9
"your","your",-1,"PRON",22,"POSS",9
"value","values",-1,"NOUN",19,"CONJ",9
".",".",-1,"PUNCT",3,"P",9
"So","So",-1,"ADV",26,"ADVMOD",9
",",",",-1,"PUNCT",26,"P",9
"let","let",-1,"VERB",26,"ROOT",9
"'s","'s",-1,"PRON",28,"NSUBJ",9
"begin","begin",-1,"VERB",26,"CCOMP",9
".",".",-1,"PUNCT",26,"P",9
"We","We",-1,"PRON",2,"NSUBJ",10
"be","'re",-1,"VERB",2,"AUX",10
"call","calling",-1,"VERB",2,"ROOT",10
"this","this",-1,"DET",5,"DET",10
"opening","opening",-1,"NOUN",5,"NN",10
"segment","segment",-1,"NOUN",2,"DOBJ",10
"""","""",-1,"PUNCT",5,"P",10
"achieve","Achieving",-1,"VERB",5,"VMOD",10
"Prosperity","Prosperity",-1,"NOUN",7,"DOBJ",10
".",".",-1,"PUNCT",2,"P",10
"""","""",-1,"PUNCT",2,"P",10
"And","And",-1,"CONJ",15,"CC",10
"central","central",-1,"ADJ",15,"NSUBJ",10
"to","to",-1,"ADP",12,"PREP",10
"that","that",-1,"DET",13,"POBJ",10
"be","is",-1,"VERB",15,"ROOT",10
"job","jobs",-1,"NOUN",15,"ATTR",10
".",".",-1,"PUNCT",15,"P",10
"There","There",-1,"DET",19,"EXPL",10
"be","are",-1,"VERB",19,"ROOT",10
"two","two",-1,"NUM",22,"NUM",10
"economic","economic",-1,"ADJ",22,"AMOD",10
"reality","realities",-1,"NOUN",19,"NSUBJ",10
"in","in",-1,"ADP",22,"PREP",10
"America","America",-1,"NOUN",23,"POBJ",10
"today","today",-1,"NOUN",22,"TMOD",10
".",".",-1,"PUNCT",19,"P",10
"There","There",-1,"DET",29,"EXPL",10
"'s","'s",-1,"VERB",29,"AUXPASS",10
"be","been",-1,"VERB",29,"ROOT",10
"a","a",-1,"DET",34,"DET",10
"record","record",-1,"ADJ",34,"AMOD",10
"six","six",-1,"NUM",34,"NUM",10
"straight","straight",-1,"ADJ",34,"AMOD",10
"year","years",-1,"NOUN",29,"ATTR",10
"of","of",-1,"ADP",34,"PREP",10
"job","job",-1,"NOUN",37,"NN",10
"growth","growth",-1,"NOUN",35,"POBJ",10
",",",",-1,"PUNCT",29,"P",10
"and","and",-1,"CONJ",29,"CC",10
"new","new",-1,"ADJ",42,"AMOD",10
"census","census",-1,"NOUN",42,"NN",10
"number","numbers",-1,"NOUN",43,"NSUBJ",10
"show","show",-1,"VERB",29,"CONJ",10
"income","incomes",-1,"NOUN",46,"NSUBJ",10
"have","have",-1,"VERB",46,"AUX",10
"increase","increased",-1,"VERB",43,"CCOMP",10
"at","at",-1,"ADP",46,"PREP",10
"a","a",-1,"DET",50,"DET",10
"record","record",-1,"NOUN",50,"NN",10
"rate","rate",-1,"NOUN",47,"POBJ",10
"after","after",-1,"ADP",46,"PREP",10
"year","years",-1,"NOUN",51,"POBJ",10
"of","of",-1,"ADP",52,"PREP",10
"stagnation","stagnation",-1,"NOUN",53,"POBJ",10
".",".",-1,"PUNCT",29,"P",10
"However","However",-1,"ADV",60,"ADVMOD",10
",",",",-1,"PUNCT",60,"P",10
"income","income",-1,"NOUN",59,"NN",10
"inequality","inequality",-1,"NOUN",60,"NSUBJ",10
"remain","remains",-1,"VERB",60,"ROOT",10
"significant","significant",-1,"ADJ",60,"ACOMP",10
",",",",-1,"PUNCT",60,"P",10
"and","and",-1,"CONJ",60,"CC",10
"nearly","nearly",-1,"ADV",65,"QUANTMOD",10
"half","half",-1,"NOUN",69,"NSUBJ",10
"of","of",-1,"ADP",65,"PREP",10
"Americans","Americans",-1,"NOUN",66,"POBJ",10
"be","are",-1,"VERB",69,"AUX",10
"live","living",-1,"VERB",60,"CONJ",10
"paycheck","paycheck",-1,"NOUN",69,"DOBJ",10
"to","to",-1,"ADP",69,"PREP",10
"paycheck","paycheck",-1,"NOUN",71,"POBJ",10
".",".",-1,"PUNCT",60,"P",10
"begin","Beginning",-1,"VERB",8,"PREP",11
"with","with",-1,"ADP",0,"PCOMP",11
"you","you",-1,"PRON",1,"POBJ",11
",",",",-1,"PUNCT",8,"P",11
"Secretary","Secretary",-1,"NOUN",5,"TITLE",11
"Clinton","Clinton",-1,"NOUN",8,"NSUBJ",11
",",",",-1,"PUNCT",8,"P",11
"why","why",-1,"ADV",8,"ADVMOD",11
"be","are",-1,"VERB",8,"ROOT",11
"you","you",-1,"PRON",8,"NSUBJ",11
"a","a",-1,"DET",12,"DET",11
"good","better",-1,"ADJ",12,"AMOD",11
"choice","choice",-1,"NOUN",8,"ATTR",11
"than","than",-1,"ADP",12,"PREP",11
"your","your",-1,"PRON",15,"POSS",11
"opponent","opponent",-1,"NOUN",13,"POBJ",11
"to","to",-1,"PRT",17,"AUX",11
"create","create",-1,"VERB",12,"VMOD",11
"the","the",-1,"DET",19,"DET",11
"kind","kinds",-1,"NOUN",17,"DOBJ",11
"of","of",-1,"ADP",19,"PREP",11
"job","jobs",-1,"NOUN",20,"POBJ",11
"that","that",-1,"DET",24,"NSUBJ",11
"will","will",-1,"VERB",24,"AUX",11
"put","put",-1,"VERB",19,"RCMOD",11
"more","more",-1,"ADJ",26,"AMOD",11
"money","money",-1,"NOUN",24,"DOBJ",11
"into","into",-1,"ADP",24,"PREP",11
"the","the",-1,"DET",29,"DET",11
"pocket","pockets",-1,"NOUN",27,"POBJ",11
"of","of",-1,"ADP",29,"PREP",11
"American","American",-1,"ADJ",32,"AMOD",11
"worker","workers",-1,"NOUN",30,"POBJ",11
"?","?",-1,"PUNCT",8,"P",11
"Well","Well",-1,"X",2,"DISCOURSE",12
",",",",-1,"PUNCT",2,"P",12
"thank","thank",-1,"VERB",2,"ROOT",12
"you","you",-1,"PRON",2,"DOBJ",12
",",",",-1,"PUNCT",3,"P",12
"Lester","Lester",-1,"NOUN",3,"CONJ",12
",",",",-1,"PUNCT",2,"P",12
"and","and",-1,"CONJ",2,"CC",12
"thanks","thanks",-1,"NOUN",2,"CONJ",12
"to","to",-1,"ADP",8,"PREP",12
"Hofstra","Hofstra",-1,"NOUN",9,"POBJ",12
"for","for",-1,"ADP",8,"PREP",12
"host","hosting",-1,"VERB",11,"PCOMP",12
"us","us",-1,"PRON",12,"DOBJ",12
".",".",-1,"PUNCT",2,"P",12
"The","The",-1,"DET",2,"DET",13
"central","central",-1,"ADJ",2,"AMOD",13
"question","question",-1,"NOUN",6,"NSUBJ",13
"in","in",-1,"ADP",2,"PREP",13
"this","this",-1,"DET",5,"DET",13
"election","election",-1,"NOUN",3,"POBJ",13
"be","is",-1,"VERB",6,"ROOT",13
"really","really",-1,"ADV",6,"ADVMOD",13
"what","what",-1,"DET",9,"DET",13
"kind","kind",-1,"NOUN",13,"DEP",13
"of","of",-1,"ADP",9,"PREP",13
"country","country",-1,"NOUN",10,"POBJ",13
"we","we",-1,"PRON",13,"NSUBJ",13
"want","want",-1,"VERB",6,"DEP",13
"to","to",-1,"PRT",15,"AUX",13
"be","be",-1,"VERB",13,"XCOMP",13
"and","and",-1,"CONJ",13,"CC",13
"what","what",-1,"DET",18,"DET",13
"kind","kind",-1,"NOUN",23,"DOBJ",13
"of","of",-1,"ADP",18,"PREP",13
"future","future",-1,"NOUN",19,"POBJ",13
"we","we",-1,"PRON",23,"NSUBJ",13
"will","'ll",-1,"VERB",23,"AUX",13
"build","build",-1,"VERB",13,"CONJ",13
"together","together",-1,"ADV",23,"ADVMOD",13
".",".",-1,"PUNCT",6,"P",13
"Today","Today",-1,"NOUN",27,"NSUBJ",13
"be","is",-1,"VERB",27,"ROOT",13
"my","my",-1,"PRON",29,"POSS",13
"granddaughter","granddaughter",-1,"NOUN",32,"POSS",13
"'s","'s",-1,"PRT",29,"PS",13
"second","second",-1,"ADJ",32,"AMOD",13
"birthday","birthday",-1,"NOUN",27,"ATTR",13
",",",",-1,"PUNCT",27,"P",13
"so","so",-1,"CONJ",27,"CC",13
"I","I",-1,"PRON",36,"NSUBJ",13
"think","think",-1,"VERB",27,"CONJ",13
"about","about",-1,"ADP",36,"PREP",13
"this","this",-1,"DET",37,"POBJ",13
"a","a",-1,"DET",40,"DET",13
"lot","lot",-1,"NOUN",36,"DOBJ",13
".",".",-1,"PUNCT",27,"P",13
"First","First",-1,"ADV",45,"ADVMOD",13
",",",",-1,"PUNCT",45,"P",13
"we","we",-1,"PRON",45,"NSUBJ",13
"have","have",-1,"VERB",45,"ROOT",13
"to","to",-1,"PRT",47,"AUX",13
"build","build",-1,"VERB",45,"XCOMP",13
"an","an",-1,"DET",49,"DET",13
"economy","economy",-1,"NOUN",47,"DOBJ",13
"that","that",-1,"DET",51,"NSUBJ",13
"work","works",-1,"VERB",49,"RCMOD",13
"for","for",-1,"ADP",51,"PREP",13
"everyone","everyone",-1,"NOUN",52,"POBJ",13
",",",",-1,"PUNCT",53,"P",13
"not","not",-1,"ADV",53,"NEG",13
"just","just",-1,"ADV",57,"ADVMOD",13
"those","those",-1,"DET",53,"DEP",13
"at","at",-1,"ADP",57,"PREP",13
"the","the",-1,"DET",60,"DET",13
"top","top",-1,"NOUN",58,"POBJ",13
".",".",-1,"PUNCT",45,"P",13
"That","That",-1,"DET",63,"NSUBJ",13
"mean","means",-1,"VERB",63,"ROOT",13
"we","we",-1,"PRON",65,"NSUBJ",13
"need","need",-1,"VERB",63,"CCOMP",13
"new","new",-1,"ADJ",67,"AMOD",13
"job","jobs",-1,"NOUN",65,"DOBJ",13
",",",",-1,"PUNCT",67,"P",13
"good","good",-1,"ADJ",70,"AMOD",13
"job","jobs",-1,"NOUN",67,"APPOS",13
",",",",-1,"PUNCT",67,"P",13
"with","with",-1,"ADP",67,"PREP",13
"rise","rising",-1,"VERB",74,"AMOD",13
"income","incomes",-1,"NOUN",72,"POBJ",13
".",".",-1,"PUNCT",63,"P",13
"I","I",-1,"PRON",1,"NSUBJ",14
"want","want",-1,"VERB",1,"ROOT",14
"us","us",-1,"PRON",4,"NSUBJ",14
"to","to",-1,"PRT",4,"AUX",14
"invest","invest",-1,"VERB",1,"XCOMP",14
"in","in",-1,"ADP",4,"PREP",14
"you","you",-1,"PRON",5,"POBJ",14
".",".",-1,"PUNCT",1,"P",14
"I","I",-1,"PRON",9,"NSUBJ",14
"want","want",-1,"VERB",9,"ROOT",14
"us","us",-1,"PRON",12,"NSUBJ",14
"to","to",-1,"PRT",12,"AUX",14
